id;x;y
"2009 Audi A3 3.2";3794.55517578125;4080.544677734375
"All-wheel drive";3897.9794921875;4077.29345703125
"2009 Audi A3 2.0 T AT";3874.14794921875;4197.13330078125
"Front-wheel drive";4100.91064453125;4387.6201171875
"2009 Audi A3 2.0 T";3904.32666015625;4178.56201171875
"2009 Audi A3 2.0 T Quattro";3804.672607421875;4097.00732421875
"2009 Audi A5 3.2";3820.786376953125;4061.672119140625
"2009 Audi A5 3.2 AT";3795.464111328125;4066.21044921875
"2009 Audi Q7 4.2";3798.5205078125;4073.58740234375
"2009 Audi Q7 3.6";3800.957763671875;4083.131103515625
"2009 Audi A4 Sedan 2.0 T Quattro";3814.688232421875;4035.19677734375
"2009 Audi A4 Sedan 2.0 T Quattro AT";3791.91552734375;4051.14404296875
"2009 Audi A4 Sedan 3.2";3799.55224609375;4068.765869140625
"2012 Acura TL";3932.700927734375;4388.5009765625
"2012 Acura TL SH-AWD";3834.646484375;4227.38720703125
"2010 BMW X5 M SUV";3854.045654296875;3995.31005859375
"2011 BMW X5 M SUV";3856.63330078125;3992.560791015625
"2010 BMW X6 M";3854.133056640625;3989.962158203125
"2011 BMW X6 M";3856.447021484375;3988.1728515625
"2012 Chevrolet Colorado Work Truck";4295.697265625;4160.97216796875
"Rear-wheel drive";4239.7197265625;4011.117431640625
"2012 Chevrolet Colorado Extended Cab Work Truck";4287.54931640625;4165.404296875
"2012 Chevrolet Colorado Crew Cab 1LT";4362.9033203125;4073.45263671875
"2011 Chevrolet Colorado Work Truck";4290.642578125;4167.3583984375
"2011 Chevrolet Colorado Extended Cab Work Truck";4285.55712890625;4162.630859375
"2011 Chevrolet Colorado Crew Cab 1LT";4358.341796875;4076.2646484375
"2010 Chevrolet Colorado Work Truck";4287.2314453125;4158.59814453125
"2010 Chevrolet Colorado Extended Cab Work Truck";4294.18212890625;4156.91845703125
"2010 Chevrolet Colorado Crew Cab LT1";4355.73583984375;4069.33642578125
"2012 Chevrolet Express LS 1500";4341.91943359375;4000.665283203125
"2012 Chevrolet Express LS 1500 AWD";4221.53857421875;4026.681884765625
"2011 Chevrolet Express LS 1500";4341.33056640625;3986.27685546875
"2011 Chevrolet Express LS 1500 AWD";4219.69580078125;4031.9345703125
"2011 Chevrolet Express LS 2500";4282.0302734375;3948.30419921875
"2011 Chevrolet Express LS 2500 6.0L";4287.8779296875;3953.41259765625
"2010 Chevrolet Express LS 1500";4339.787109375;3989.741943359375
"2010 Chevrolet Express LS 1500 AWD";4224.0390625;4030.303955078125
"2011 Chevrolet Silverado 1500 Work Truck";4365.38671875;4006.30517578125
"2011 Chevrolet Silverado 1500 Crew Cab Work Truck";4402.57861328125;4025.832275390625
"2011 Chevrolet Silverado 1500 Extended Cab Work Truck";4367.162109375;3999.868408203125
"2010 Chevrolet Silverado 1500 Extended Cab Work Truck";4367.91748046875;4003.919677734375
"2010 Chevrolet Silverado 1500 Work Truck";4367.38623046875;4009.3642578125
"2010 Chevrolet Silverado 1500 Crew Cab Work Truck";4416.79296875;4022.206298828125
"2011 Nissan 370Z NISMO";4284.884765625;4126.4462890625
"2010 Nissan 370Z NISMO";4286.29345703125;4131.2138671875
"2009 Nissan 370Z NISMO";4288.537109375;4128.33056640625
"2011 Volvo C30 T5";3991.34423828125;4318.05615234375
"2011 Volvo C30 T5 AT";4124.0751953125;4397.57861328125
"2010 Volvo C30 T5 AT";4120.96728515625;4401.0048828125
"2010 Volvo C30 T5";3994.763671875;4310.97314453125
"2010 Bentley Brooklands";4150.50048828125;3898.3466796875
"2012 Bentley Continental Supersports Convertible";3962.68212890625;3956.12060546875
"2012 Bentley Continental Supersports Coupe";3878.1123046875;3986.9990234375
"2011 Bentley Continental Supersports Convertible";3963.696533203125;3952.849853515625
"2010 Bentley Continental Supersports";3964.575927734375;3959.773681640625
"2012 Bentley Continental Flying Spur";3975.3759765625;3945.994873046875
"2012 Bentley Continental Flying Spur Speed";3976.147705078125;3941.6455078125
"2011 Bentley Continental Flying Spur Speed";3973.177001953125;3939.07958984375
"2010 Bentley Continental Flying Spur Speed";3970.853271484375;3947.738037109375
"2010 Bentley Continental Flying Spur";3981.11279296875;3941.18505859375
"2011 Volvo C70 T5";4120.77490234375;4390.0654296875
"2010 Volvo C70 T5";3998.79248046875;4316.24951171875
"2010 Volvo C70 T5 AT";4120.10595703125;4400.64404296875
"2010 Volvo S40 2.4i";4024.874267578125;4439.775390625
"2010 Volvo S40 R-Design";4120.25244140625;4396.27197265625
"2011 Volvo S40 T5";4112.48876953125;4393.52001953125
"2010 Volvo S40 R-Design AWD";3928.0517578125;4219.23974609375
"2012 Volvo S60 T5";3928.560791015625;4315.66650390625
"2012 Volvo S60 T6 AWD";3849.3388671875;4160.51318359375
"2012 Volvo S60 R-Design";3838.908447265625;4173.9755859375
"2011 Volvo S60 T6 AWD";3937.101806640625;4134.208984375
"2011 Volvo S80 3.2";3912.392822265625;4287.96630859375
"2010 Volvo S80 V8";3968.703857421875;4126.6826171875
