,ID,Driveline,Engine Type,Transmission,Make
0,2009 Audi A3 3.2,All-wheel drive,Audi 3.2L 6 cylinder 250hp 236ft-lbs,6 Speed Automatic Select Shift,Audi
1,2009 Audi A3 2.0 T AT,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic Select Shift,Audi
2,2009 Audi A3 2.0 T,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Manual,Audi
3,2009 Audi A3 2.0 T Quattro,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic Select Shift,Audi
5,2009 Audi A5 3.2,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6 Speed Manual,Audi
6,2009 Audi A5 3.2 AT,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6 Speed Automatic Select Shift,Audi
7,2009 Audi Q7 4.2,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,6 Speed Automatic Select Shift,Audi
8,2009 Audi Q7 3.6,All-wheel drive,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,6 Speed Automatic Select Shift,Audi
9,2009 Audi A4 Sedan 2.0 T Quattro,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Manual,Audi
10,2009 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Automatic Select Shift,Audi
11,2009 Audi A4 Sedan 3.2,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6 Speed Automatic Select Shift,Audi
12,2012 Acura TL,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,6 Speed Automatic Select Shift,Acura
13,2012 Acura TL SH-AWD,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,6 Speed Automatic Select Shift,Acura
14,2010 BMW X5 M SUV,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
15,2011 BMW X5 M SUV,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
16,2010 BMW X6 M,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
17,2011 BMW X6 M,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
18,2012 Chevrolet Colorado Work Truck,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,Chevrolet
19,2012 Chevrolet Colorado Extended Cab Work Truck,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,Chevrolet
